Episode,Reward,Steps,RedLightViolations,ObstacleCollisions
1188,-372,62,14,4
1189,-174,75,14,3
1190,-168,66,12,1
1191,-422,93,20,0
1192,-362,73,16,2
1193,-448,110,19,7
1194,-228,58,14,0
1195,-128,52,10,2
1196,-248,96,15,14
1197,-512,96,23,0
1198,-138,97,17,1
1199,-268,70,16,0
1200,-234,61,14,1
1201,-466,71,17,1
1202,-70,61,11,3
1203,-364,70,14,1
1204,-384,58,15,0
1205,-520,82,21,0
1206,-406,83,19,4
1207,-112,60,10,1
1208,-364,80,16,1
1209,-148,80,14,0
1210,-218,63,12,2
1211,-502,93,25,1
1212,-12,64,9,0
1213,-298,81,16,2
1214,-108,54,10,0
1215,-106,69,13,5
1216,-252,72,15,0
1217,-318,73,15,2
1218,-268,62,13,9
1219,-612,90,24,4
1220,-166,61,13,0
1221,-260,78,13,0
1222,-162,67,14,0
1223,-60,66,9,1
1224,-220,66,12,4
1225,-224,58,14,5
1226,-26,53,9,1
1227,-416,62,17,0
1228,-76,60,12,0
1229,-526,89,20,5
1230,-318,71,13,3
1231,-268,68,14,0
1232,-306,81,15,4
1233,-426,63,15,0
1234,-462,75,18,0
1235,-238,61,14,1
1236,-106,65,13,0
1237,-60,72,12,1
1238,-54,63,10,1
1239,-218,69,12,1
1240,-362,71,16,1
1241,-18,69,12,1
1242,-264,80,13,1
1243,-198,71,14,1
1244,-124,58,10,0
1245,-118,59,12,4
1246,-138,45,10,1
1247,-220,64,13,2
1248,-110,63,12,0
1249,-174,67,13,2
1250,-170,67,13,3
1251,-368,76,15,5
1252,-16,48,8,0
1253,-224,56,11,2
1254,-264,72,15,5
1255,-172,54,11,6
1256,-104,74,12,0
1257,-226,75,13,4
1258,-172,58,11,0
1259,-80,44,9,2
1260,-400,96,20,0
1261,-386,55,11,3
1262,-366,77,17,0
1263,-282,63,14,5
1264,-248,90,17,1
1265,-38,59,14,0
1266,-314,75,15,2
1267,-76,58,8,0
1268,-172,58,10,2
1269,-264,74,13,0
1270,-162,69,13,1
1271,-6,63,10,6
1272,-176,58,11,0
1273,-286,67,12,3
1274,-272,68,14,3
1275,-362,73,16,8
1276,-256,70,13,4
1277,-276,58,13,1
1278,-222,77,15,6
1279,90,63,11,1
1280,-278,53,12,1
1281,-42,71,8,0
1282,-174,53,11,0
1283,-126,73,16,2
1284,-464,78,20,4
1285,-272,60,14,0
1286,-214,65,14,1
1287,-150,81,16,2
1288,-370,79,18,0
1289,-272,66,13,0
1290,-460,74,18,3
1291,-170,67,13,5
1292,-276,52,12,0
1293,-222,57,13,0
1294,-318,81,16,0
1295,-478,65,16,0
1296,-238,65,15,5
1297,-176,62,8,6
1298,-128,52,11,1
1299,-210,79,15,1
1300,-370,67,14,0
1301,-172,52,11,0
1302,-418,65,17,1
1303,-302,79,15,6
1304,-30,53,10,1
1305,-366,63,16,1
1306,-80,52,9,1
1307,-118,63,9,2
1308,-324,66,15,1
1309,-440,76,18,1
1310,-264,62,14,1
1311,-12,58,10,0
1312,-74,61,10,3
1313,-10,63,9,0
1314,-480,76,16,0
1315,-12,62,10,5
1316,-316,76,15,5
1317,-18,55,11,5
1318,-232,52,10,0
1319,-200,86,14,1
1320,-220,66,12,1
1321,-20,58,10,2
1322,-22,67,11,1
1323,-230,61,13,1
1324,-68,64,11,0
1325,-370,71,18,1
1326,-124,58,10,0
1327,-128,50,10,0
1328,-256,74,15,0
1329,-176,76,16,7
1330,86,57,9,5
1331,-170,63,10,6
1332,-260,74,14,0
1333,-120,58,12,1
1334,-306,83,16,8
1335,28,52,9,1
1336,-312,80,18,3
1337,-164,54,12,5
1338,-178,61,10,0
1339,-14,65,12,0
1340,-326,57,14,1
1341,-46,81,11,0
1342,-662,87,22,0
1343,-118,53,10,0
1344,-86,89,12,0
1345,-20,62,11,0
1346,32,52,8,5
1347,-150,95,17,0
1348,86,51,7,0
1349,-216,68,14,1
1350,-326,65,14,0
1351,-376,62,14,4
1352,-232,50,12,0
1353,-172,74,15,2
1354,-68,60,10,0
1355,-260,70,14,5
1356,-66,69,11,0
1357,-274,63,12,7
1358,-128,60,10,5
1359,-356,88,16,8
1360,-226,57,11,0
1361,-428,72,17,7
1362,-166,57,12,1
1363,-110,63,10,0
1364,-78,43,9,0
1365,-270,67,13,0
1366,-76,50,9,1
1367,-266,75,15,1
1368,-134,51,8,1
1369,-68,60,11,0
1370,-204,72,13,0
1371,-96,78,10,6
1372,-56,76,8,0
1373,-8,56,8,0
1374,-160,64,13,5
1375,-572,80,20,5
1376,-126,57,12,1
1377,-500,54,15,2
1378,-168,66,11,6
1379,-270,59,13,2
1380,48,68,10,5
1381,-154,71,13,1
1382,-178,59,12,1
1383,-70,61,12,4
1384,-114,57,10,1
1385,-364,78,17,0
1386,-170,59,11,0
1387,-78,53,10,0
1388,-272,54,12,0
1389,32,52,7,0
1390,-218,65,13,4
1391,-314,73,18,1
1392,-262,73,14,1
1393,-296,86,16,1
1394,-138,45,9,1
1395,-364,64,14,1
1396,-374,63,13,1
1397,-30,61,7,6
1398,94,57,7,6
1399,-464,62,16,0
1400,-230,67,13,2
1401,-172,66,12,0
1402,-370,77,16,0
1403,-12,62,8,1
1404,-224,52,10,0
1405,-2,65,10,0
1406,50,57,8,0
1407,-190,87,16,1
1408,-74,51,8,1
1409,-120,50,7,1
1410,-230,61,13,1
1411,-310,87,15,2
1412,-76,52,10,0
1413,-112,72,12,7
1414,-160,64,13,12
1415,-64,70,12,2
1416,-110,67,12,7
1417,-320,68,16,0
1418,-200,86,15,4
1419,-132,52,11,2
1420,-396,48,11,2
1421,-220,62,13,1
1422,34,75,10,2
1423,100,66,8,0
1424,-114,67,12,1
1425,-14,59,9,1
1426,-134,53,12,9
1427,0,72,11,2
1428,-8,62,10,0
1429,-118,61,10,0
1430,-264,72,15,5
1431,-158,63,12,0
1432,-76,52,9,1
1433,-306,71,14,0
1434,-174,61,12,0
1435,-254,79,14,5
1436,-158,83,16,0
1437,-58,75,11,0
1438,-376,58,16,0
1439,-184,42,11,0
1440,-204,66,14,0
1441,-214,83,17,0
1442,-214,69,16,0
1443,-468,78,18,7
1444,-222,69,15,0
1445,-58,55,7,0
1446,-56,66,11,0
1447,-410,77,18,0
1448,-268,62,14,1
1449,-170,51,9,0
1450,-168,68,11,3
1451,-166,57,10,1
1452,-108,56,10,0
1453,-324,64,15,0
1454,-258,71,11,1
1455,-248,74,15,0
1456,-460,74,18,4
1457,-280,52,12,1
1458,-102,71,13,4
1459,-280,52,12,0
1460,-206,79,13,2
1461,-62,69,10,0
1462,-358,95,18,6
1463,38,59,9,1
1464,-126,59,10,2
1465,-8,58,8,3
1466,-26,51,8,5
1467,-4,58,10,0
1468,38,59,6,1
1469,-166,75,15,5
1470,-220,68,15,3
1471,0,70,11,1
1472,-130,43,7,0
1473,-344,44,10,2
1474,-88,80,10,0
1475,-66,49,8,0
1476,-180,56,10,3
1477,-210,63,12,1
1478,-124,58,11,2
1479,-130,53,11,2
1480,-526,71,18,0
1481,-110,69,13,1
1482,0,72,10,6
1483,-118,57,9,2
1484,-156,64,11,1
1485,-100,70,11,0
1486,-68,50,10,1
1487,-106,75,11,4
1488,-162,67,12,3
1489,78,51,7,1
1490,-376,66,14,4
1491,-170,61,12,0
1492,-372,70,16,1
1493,-68,50,9,0
1494,-118,51,8,1
1495,-166,59,11,3
1496,-66,61,11,1
1497,-72,54,9,1
1498,-64,58,10,0
1499,-220,68,13,1
1500,-126,57,11,2
1501,-156,70,11,0
1502,-114,59,10,1
1503,-68,60,11,6
1504,38,57,9,1
1505,-306,71,16,0
1506,-118,59,11,0
1507,-54,75,13,0
1508,-130,51,11,2
1509,-112,74,13,1
1510,-232,66,14,0
1511,-68,58,10,0
1512,42,59,7,0
1513,82,53,8,0
1514,-2,65,11,1
1515,38,57,9,2
1516,-158,65,13,1
1517,0,64,9,2
1518,-46,71,11,0
1519,-204,66,13,1
1520,-70,61,11,0
1521,-72,64,10,1
1522,-68,72,11,7
1523,-384,62,16,6
1524,-70,61,11,5
1525,8,70,9,5
1526,-118,61,11,1
1527,-212,80,13,2
1528,0,62,7,0
1529,-150,75,14,0
1530,-66,61,11,0
1531,-66,57,11,1
1532,-162,65,14,0
1533,-10,63,8,2
1534,96,58,7,0
1535,-142,45,10,1
1536,54,65,10,0
1537,-58,71,13,0
1538,-266,83,13,1
1539,-128,58,11,1
1540,-268,58,14,0
1541,92,58,8,0
1542,-62,75,12,7
1543,86,51,7,0
1544,-116,58,11,4
1545,-16,50,8,1
1546,-222,61,11,0
1547,-152,72,11,1
1548,-140,86,15,0
1549,-26,61,11,1
1550,-218,65,13,0
1551,-58,71,12,7
1552,-84,50,9,1
1553,36,58,7,5
1554,-124,52,9,0
1555,-200,88,16,9
1556,-2,73,11,1
1557,-144,86,15,0
1558,-252,44,11,5
1559,-268,62,14,1
1560,-122,59,10,2
1561,-114,59,11,0
1562,-184,50,10,0
1563,-10,67,10,5
1564,-118,59,10,1
1565,-18,61,9,5
1566,-56,78,14,1
1567,-10,59,9,1
1568,-178,59,10,1
1569,-70,61,10,4
1570,-150,71,13,1
1571,-18,59,10,1
1572,-202,75,15,1
1573,48,66,8,0
1574,86,53,7,0
1575,-98,81,11,0
1576,-68,48,8,0
1577,94,71,9,3
1578,30,53,9,2
1579,-150,73,11,0
1580,-58,65,11,1
1581,-164,72,12,2
1582,-262,63,13,2
1583,-120,58,10,4
1584,-420,68,17,2
1585,-224,64,14,4
1586,-104,72,9,0
1587,-12,54,9,1
1588,-62,59,9,0
1589,-170,59,10,0
1590,26,61,12,1
1591,-68,64,10,4
1592,-152,64,11,0
1593,-162,65,13,1
1594,-56,70,11,3
1595,-162,67,13,1
1596,-172,66,13,2
1597,-168,66,12,0
1598,-216,58,12,0
1599,-74,53,9,3
1600,-160,54,11,0
1601,-324,66,15,0
1602,-280,52,12,0
1603,-114,65,10,0
1604,-10,63,8,1
1605,-122,83,14,11
1606,-18,67,9,0
1607,-82,43,8,0
1608,-124,58,9,0
1609,-60,68,11,4
1610,-62,63,11,1
1611,-208,66,11,2
1612,20,58,11,0
1613,-214,67,13,0
1614,-20,60,9,8
1615,-248,70,13,9
1616,-230,53,12,0
1617,-210,65,15,0
1618,94,57,8,0
1619,-218,71,11,3
1620,-174,51,11,0
1621,-32,44,8,1
1622,-216,64,13,0
1623,112,70,8,1
1624,-18,59,8,0
1625,86,53,7,6
1626,-102,63,8,2
1627,-126,53,10,3
1628,-106,57,8,0
1629,-52,80,11,0
1630,88,56,7,6
1631,-108,64,10,0
1632,-160,56,11,0
1633,-102,65,11,5
1634,-216,62,14,1
1635,-118,53,9,1
1636,-56,56,8,0
1637,-64,54,9,0
1638,0,66,11,0
1639,-122,53,11,0
1640,-4,62,9,1
1641,-364,66,16,4
1642,-120,58,10,1
1643,32,52,8,0
1644,-170,49,8,2
1645,-364,62,15,0
1646,36,60,9,0
1647,-148,78,13,0
1648,88,60,8,0
1649,-106,63,11,0
1650,-258,67,14,0
1651,-110,61,12,2
1652,32,48,6,6
1653,44,54,8,1
1654,100,58,7,0
1655,-160,68,12,0
1656,4,78,12,0
1657,88,50,6,0
1658,-244,92,17,0
1659,-58,57,9,2
1660,-56,64,8,0
1661,-50,71,12,0
1662,-50,75,12,0
1663,-18,53,9,0
1664,40,56,7,0
1665,-14,57,9,7
1666,-160,72,11,0
1667,-72,54,11,0
1668,-334,53,13,1
1669,48,56,8,0
1670,32,54,8,5
1671,86,53,7,0
1672,-6,63,9,0
1673,138,59,7,6
1674,-62,61,11,1
1675,-14,57,9,6
1676,36,56,7,1
1677,-102,65,13,0
1678,-92,78,12,0
1679,-126,61,12,1
1680,-210,71,13,0
1681,-22,51,8,2
1682,-114,59,11,0
1683,-174,77,13,0
1684,-162,65,14,4
1685,-48,64,9,0
1686,-56,56,8,5
1687,-170,57,12,0
1688,-12,62,11,0
1689,-232,52,13,0
1690,-190,87,15,2
1691,-66,59,10,2
1692,-172,52,10,7
1693,-52,70,10,5
1694,-126,61,11,3
1695,-358,87,18,0
1696,14,43,10,5
1697,-20,50,10,0
1698,140,52,6,0
1699,46,65,9,0
1700,100,62,8,0
1701,80,52,6,0
1702,-268,62,12,5
1703,30,53,6,0
1704,-100,70,12,0
1705,-24,52,7,5
1706,6,73,12,0
1707,-114,57,10,0
1708,-116,64,10,5
1709,-16,48,8,5
1710,-114,57,9,0
1711,34,57,8,0
1712,48,64,6,0
1713,98,55,7,0
1714,-18,51,9,3
1715,-68,52,9,0
1716,-64,64,10,2
1717,-218,57,11,2
1718,38,57,9,1
1719,-66,49,9,0
1720,-8,64,8,0
1721,48,62,9,0
1722,36,58,9,0
1723,-64,60,10,0
1724,-102,65,12,2
1725,-124,56,12,8
1726,-272,56,12,1
1727,-292,80,14,0
1728,-308,72,12,0
1729,60,72,8,0
1730,-104,62,11,0
1731,40,60,9,0
1732,12,72,9,1
1733,-96,70,10,0
1734,-12,60,10,0
1735,-6,55,9,1
1736,-16,50,9,0
1737,32,52,5,5
1738,-58,73,11,0
1739,-110,63,12,0
1740,-20,60,10,2
1741,-148,78,15,1
1742,-74,53,9,0
1743,-272,56,12,1
1744,-86,79,11,3
1745,-72,58,9,5
1746,-70,51,9,0
1747,-22,51,8,0
1748,-238,45,11,3
1749,-68,56,9,1
1750,42,57,9,10
1751,38,63,9,1
1752,-72,52,8,0
1753,58,71,9,0
1754,-16,60,10,2
1755,48,64,8,0
1756,-6,63,9,0
1757,-68,58,9,0
1758,-64,50,9,0
1759,-92,82,14,0
1760,32,52,8,0
1761,-64,64,10,0
1762,94,57,8,0
1763,-6,65,11,1
1764,-58,73,13,2
1765,-116,56,10,1
1766,-74,47,9,0
1767,-218,59,13,0
1768,38,51,7,0
1769,-68,52,9,1
1770,42,65,9,2
1771,-4,64,10,0
1772,-50,71,11,0
1773,-26,51,8,1
1774,-114,53,9,5
1775,-214,65,12,2
1776,50,71,10,0
1777,-128,44,6,0
1778,-62,63,12,0
1779,-110,61,13,0
1780,-106,63,11,0
1781,-14,67,10,1
1782,28,52,8,0
1783,-8,62,11,1
1784,-68,50,10,0
1785,-106,67,11,1
1786,34,51,5,0
1787,32,52,8,5
1788,-122,65,10,5
1789,2,65,10,0
1790,-166,55,10,3
1791,36,66,10,1
1792,90,51,7,0
1793,-18,51,8,1
1794,32,44,6,0
1795,-256,64,14,0
1796,-56,64,11,6
1797,-210,71,15,0
1798,84,60,7,6
1799,-10,63,7,5
1800,-20,50,8,2
1801,88,60,8,5
1802,46,63,9,1
1803,38,51,7,5
1804,50,59,9,0
1805,-30,53,10,5
1806,4,70,11,0
1807,44,58,9,0
1808,-12,58,9,0
1809,-126,67,14,8
1810,78,45,6,0
1811,0,62,9,0
1812,-120,60,11,0
1813,-54,63,10,5
1814,-10,69,11,1
1815,-16,56,7,0
1816,-38,79,13,0
1817,28,52,8,2
1818,-478,65,14,0
1819,-6,55,7,1
1820,-112,60,10,0
1821,-96,70,12,4
1822,-212,66,13,5
1823,32,52,7,1
1824,0,70,12,0
1825,-34,45,7,1
1826,-168,56,12,4
1827,-16,54,9,1
1828,-118,59,9,0
1829,-60,58,10,0
1830,38,61,10,0
1831,6,73,12,3
1832,-118,57,11,0
1833,-64,56,11,0
1834,-120,62,9,1
1835,-112,58,11,6
1836,-74,51,8,1
1837,30,45,8,0
1838,-70,49,9,0
1839,42,55,8,1
1840,-10,61,10,0
1841,-6,65,9,1
1842,-12,56,7,6
1843,-110,63,10,1
1844,-220,60,10,0
1845,-262,63,13,2
1846,-60,58,10,0
1847,-18,45,8,0
1848,-14,57,10,3
1849,-68,54,9,0
1850,30,53,9,0
1851,-66,55,11,1
1852,-60,60,11,0
1853,-154,81,14,0
1854,-48,80,11,0
1855,-114,63,10,0
1856,-66,61,10,0
1857,-32,80,11,4
1858,-8,56,9,4
1859,-58,55,10,0
1860,-168,58,9,2
1861,84,50,7,1
1862,-26,43,7,0
1863,-178,45,12,0
1864,-122,57,10,4
1865,-46,79,13,4
1866,36,50,8,0
1867,88,58,8,0
1868,-72,52,9,5
1869,-156,64,11,2
1870,-68,54,10,1
1871,-12,60,10,0
1872,-104,62,11,0
1873,-20,50,8,0
1874,-66,59,9,0
1875,-76,50,9,1
1876,-108,68,12,2
1877,-52,62,9,0
1878,-16,60,9,0
1879,60,70,10,0
1880,-22,53,10,4
1881,-364,70,15,1
1882,92,58,8,0
1883,-68,52,9,0
1884,6,71,11,0
1885,26,45,6,0
1886,154,55,6,0
1887,-18,51,8,0
1888,-120,60,11,5
1889,-2,65,8,4
1890,-50,63,9,5
1891,136,52,6,0
1892,96,56,6,0
1893,-6,73,10,5
1894,-114,65,11,0
1895,154,57,7,0
1896,-60,56,9,5
1897,-12,56,8,0
1898,42,57,8,0
1899,-6,63,10,0
1900,76,44,6,1
1901,-12,54,10,1
1902,-12,52,7,0
1903,102,63,9,5
1904,36,52,7,5
1905,104,62,8,0
1906,-122,51,9,0
1907,-270,77,16,0
1908,-106,65,12,0
1909,-100,62,8,0
1910,90,59,7,2
1911,-16,58,10,2
1912,34,53,9,0
1913,38,49,7,0
1914,-48,70,10,3
1915,-26,45,7,2
1916,98,55,7,0
1917,-26,53,9,0
1918,142,55,8,0
1919,-66,53,9,0
1920,-52,64,11,1
1921,-172,54,12,0
1922,-14,61,11,8
1923,-170,57,11,2
1924,-10,57,8,0
1925,-68,48,7,2
1926,-154,63,11,0
1927,42,61,9,0
1928,-66,55,9,1
1929,36,50,8,0
1930,-70,53,10,0
1931,48,62,9,0
1932,26,53,10,0
1933,-122,55,9,1
1934,-74,53,11,1
1935,52,62,9,1
1936,76,44,5,5
1937,-156,64,13,5
1938,-64,56,9,5
1939,-166,55,12,0
1940,-22,51,9,6
1941,-12,58,9,0
1942,-18,61,9,0
1943,-4,64,8,1
1944,-54,63,11,1
1945,34,53,9,1
1946,102,63,8,1
1947,-110,69,12,4
1948,2,71,10,0
1949,-72,50,8,0
1950,-122,53,11,0
1951,50,63,8,5
1952,-114,59,11,0
1953,-66,61,10,0
1954,-104,64,9,6
1955,90,57,6,0
1956,0,72,9,0
1957,42,55,8,9
1958,-64,66,10,0
1959,40,52,8,0
1960,48,62,9,6
1961,-26,53,10,0
1962,-70,57,10,0
1963,-100,64,10,1
1964,-18,47,7,0
1965,-6,59,8,0
1966,30,51,8,5
1967,-60,58,9,0
1968,42,61,10,0
1969,108,70,9,0
1970,-112,58,11,1
1971,-8,66,10,1
1972,-80,44,9,0
1973,42,57,9,0
1974,-60,56,9,0
1975,-104,62,12,2
1976,-18,51,9,4
1977,30,51,8,4
1978,-116,52,11,2
1979,-52,64,9,6
1980,96,54,8,0
1981,84,50,6,0
1982,-68,66,9,1
1983,90,53,8,0
1984,-58,57,10,0
1985,-44,70,10,0
1986,28,52,7,0
1987,98,57,8,0
1988,-50,57,9,0
1989,-64,54,8,5
1990,36,50,7,3
1991,140,50,6,0
1992,88,50,7,0
1993,32,58,9,2
1994,134,45,6,0
1995,-40,70,11,0
1996,38,61,8,0
1997,0,62,9,0
1998,38,51,8,0
1999,78,51,8,1
2000,-22,51,10,2
2001,80,44,6,5
2002,-142,79,14,0
2003,34,59,9,5
2004,136,44,5,0
2005,-56,62,10,1
2006,-78,43,7,0
2007,-14,51,8,1
2008,-174,51,11,1
2009,-14,51,9,0
2010,138,51,6,1
2011,-10,59,10,0
2012,78,45,7,0
2013,90,49,7,3
2014,44,56,7,1
2015,106,63,8,1
2016,-16,52,7,0
2017,90,57,8,1
2018,94,49,7,5
2019,-126,55,10,1
2020,-58,59,11,2
2021,84,52,6,0
2022,-6,55,9,0
2023,80,44,6,0
2024,156,62,7,0
2025,-76,52,8,0
2026,42,55,6,1
2027,88,52,7,0
2028,56,70,9,5
2029,-18,51,8,1
2030,32,50,8,0
2031,-128,44,9,1
2032,-4,54,8,0
2033,-14,69,12,1
2034,98,55,7,0
2035,130,51,6,5
2036,-68,58,9,0
2037,-12,60,10,0
2038,-108,54,10,1
2039,86,51,8,0
2040,-122,51,9,0
2041,-58,59,11,0
2042,80,44,6,1
2043,98,55,6,0
2044,32,44,6,0
2045,-58,63,12,0
2046,96,60,7,0
2047,-170,55,12,1
2048,-28,44,8,0
2049,94,57,7,1
2050,48,62,9,5
2051,32,52,7,0
2052,-2,65,11,0
2053,-166,57,11,1
2054,-112,62,11,1
2055,-110,69,12,0
2056,48,70,11,0
2057,34,53,9,0
2058,42,65,10,0
2059,-130,49,9,3
2060,-64,56,9,6
2061,94,55,6,4
2062,30,45,8,0
2063,0,64,9,0
2064,54,63,8,0
2065,-12,58,8,0
2066,-212,58,13,0
2067,-72,50,8,0
2068,34,61,8,1
2069,-68,56,9,1
2070,-120,56,10,1
2071,-66,55,9,0
2072,-4,58,8,0
2073,-70,53,9,0
2074,-58,65,12,7
2075,-66,49,10,1
2076,46,63,8,5
2077,88,52,7,0
2078,100,54,7,0
2079,132,44,5,5
2080,52,62,9,0
2081,92,58,6,1
2082,86,51,7,0
2083,-130,45,10,0
2084,-56,64,9,5
2085,-162,55,10,1
2086,140,50,6,0
2087,-26,61,9,0
2088,100,54,6,0
2089,128,50,7,1
2090,84,52,7,1
2091,-40,78,13,1
2092,32,50,8,0
2093,138,61,7,1
2094,88,56,8,0
2095,-112,64,10,1
2096,100,56,7,5
2097,-162,63,12,0
2098,-30,45,8,2
2099,100,54,7,0
2100,82,45,6,0
2101,-54,55,9,0
2102,134,45,6,0
2103,-60,56,10,1
2104,46,65,9,2
2105,-2,55,9,0
2106,30,61,8,0
2107,92,48,5,0
2108,-4,62,8,0
2109,-70,53,10,0
2110,46,63,11,0
2111,78,45,6,0
2112,152,64,8,0
2113,-102,63,10,0
2114,-70,61,12,0
2115,-18,57,10,5
2116,-2,65,11,2
2117,42,57,9,2
2118,58,63,8,0
2119,-24,52,8,0
2120,98,57,8,0
2121,-62,57,9,1
2122,146,49,6,0
2123,-106,63,12,0
2124,-116,60,11,0
2125,50,63,8,0
2126,136,44,5,0
2127,-64,54,10,1
2128,144,60,7,0
2129,-10,55,6,5
2130,82,51,7,0
2131,32,52,6,0
2132,146,55,6,5
2133,-12,50,7,0
2134,-84,44,7,0
2135,48,62,10,0
2136,-18,51,8,1
2137,-18,61,10,1
2138,96,56,7,0
2139,12,72,9,0
2140,2,57,9,0
2141,156,62,6,1
2142,-22,51,7,2
2143,-66,53,10,0
2144,38,49,8,0
2145,0,62,10,5
2146,88,50,6,5
2147,24,44,7,5
2148,96,56,7,0
2149,-2,71,10,1
2150,30,53,9,6
2151,-128,48,7,0
2152,52,62,9,9
2153,-30,43,7,1
2154,140,50,6,0
2155,96,66,8,1
2156,140,50,5,0
2157,-22,43,7,0
2158,30,45,7,0
2159,96,54,7,0
2160,-108,74,12,6
2161,-18,51,8,0
2162,84,52,6,0
2163,-56,56,11,5
2164,-48,72,11,0
2165,40,54,8,1
2166,-118,61,13,1
2167,-64,62,10,0
2168,82,51,6,5
2169,34,53,9,0
2170,-56,54,9,1
2171,-78,51,9,4
2172,-20,58,8,6
2173,-20,52,9,0
2174,94,57,7,0
2175,-64,56,10,0
2176,50,57,9,0
2177,-52,70,11,5
2178,86,53,6,0
2179,150,63,7,0
2180,32,52,8,1
2181,-122,49,10,2
2182,38,65,10,7
2183,40,62,9,1
2184,78,45,6,1
2185,-8,54,8,1
2186,-8,66,10,0
2187,-2,59,9,1
2188,36,50,7,0
2189,44,58,8,0
2190,80,52,7,5
2191,150,65,8,0
2192,-14,55,8,5
2193,-62,51,10,4
2194,-126,45,10,0
2195,60,62,9,0
2196,88,50,7,0
2197,76,44,5,1
2198,0,56,8,1
2199,-122,55,11,0
2200,88,52,7,0
2201,-58,57,10,0
2202,-8,56,8,0
2203,-14,57,7,6
2204,-94,71,11,2
2205,142,51,6,0
2206,28,52,6,2
2207,-64,56,10,0
2208,-112,56,12,0
2209,-120,56,8,4
2210,-6,55,8,5
2211,92,60,8,0
2212,46,63,8,5
2213,-14,51,8,0
2214,26,45,8,0
2215,-110,55,10,1
2216,34,59,7,0
2217,138,53,7,0
2218,-20,48,8,6
2219,0,62,8,1
2220,26,45,7,1
2221,52,64,8,0
2222,44,56,8,0
2223,94,55,7,0
2224,26,43,7,1
2225,-6,59,7,0
2226,-60,66,11,2
2227,22,45,8,5
2228,100,62,8,2
2229,36,50,8,0
2230,138,51,6,0
2231,86,51,6,0
2232,130,45,6,1
2233,100,64,8,4
2234,38,49,8,1
2235,38,57,8,2
2236,-10,55,9,0
2237,78,45,7,0
2238,102,57,8,0
2239,96,54,7,1
2240,90,51,6,0
2241,-26,43,8,1
2242,34,61,10,3
2243,94,57,8,5
2244,94,55,7,4
2245,34,51,7,8
2246,84,52,7,0
2247,42,57,9,1
2248,38,49,8,0
2249,-22,49,9,1
2250,48,54,7,0
2251,-68,60,11,0
2252,-62,57,10,0
2253,48,54,8,0
2254,86,45,7,0
2255,-66,49,10,1
2256,-4,54,8,0
2257,38,59,8,2
2258,-76,50,9,1
2259,146,59,7,0
2260,28,52,5,1
2261,42,57,8,0
2262,-6,57,9,0
2263,40,56,7,1
2264,-12,54,8,0
2265,32,52,7,0
2266,-10,49,8,0
2267,-160,56,10,0
2268,54,65,10,0
2269,-52,62,9,4
2270,30,51,8,0
2271,-6,59,9,0
2272,44,58,9,0
2273,84,58,8,0
2274,140,52,6,1
2275,42,57,9,2
2276,44,54,8,1
2277,-74,45,10,0
2278,-12,54,7,1
2279,92,50,7,0
2280,-14,53,9,0
2281,-2,63,9,0
2282,82,45,7,0
2283,40,56,8,0
2284,48,54,8,0
2285,34,53,9,0
2286,-204,62,13,0
2287,26,53,9,0
2288,98,55,7,5
2289,24,44,6,1
2290,44,56,6,0
2291,-4,62,9,1
2292,24,44,6,1
2293,94,57,8,1
2294,-62,57,10,1
2295,-102,57,10,0
2296,-20,48,8,2
2297,6,71,11,0
2298,132,50,7,1
2299,44,58,7,0
2300,88,60,8,5
2301,34,49,7,5
2302,-2,57,8,8
2303,-50,71,10,0
2304,38,51,8,0
2305,-66,53,10,0
2306,44,54,8,0
2307,88,50,6,0
2308,30,45,7,0
2309,-254,63,12,0
2310,30,45,8,0
2311,54,71,10,0
2312,132,50,6,2
2313,76,50,9,0
2314,82,45,7,0
2315,-14,55,8,1
2316,78,45,6,1
2317,-60,54,7,0
2318,130,53,7,1
2319,-2,71,10,0
2320,-16,50,9,0
2321,36,50,8,1
2322,-2,67,9,0
2323,-28,44,8,5
2324,0,54,9,0
2325,34,45,6,0
2326,-60,64,8,0
2327,44,54,7,1
2328,-136,52,10,1
2329,42,57,9,7
2330,36,56,10,5
2331,4,64,9,0
2332,42,55,7,1
2333,-12,58,8,0
2334,-20,50,7,2
2335,44,58,9,0
2336,44,58,8,0
2337,136,50,6,1
2338,84,50,8,1
2339,-18,51,8,4
2340,136,52,6,0
2341,56,62,8,0
2342,88,50,6,0
2343,36,52,6,1
2344,46,55,7,0
2345,84,44,6,0
2346,44,56,8,0
2347,-112,56,9,5
2348,-12,54,8,5
2349,32,52,8,0
2350,-8,56,8,3
2351,-60,56,9,0
2352,-18,55,9,1
2353,44,58,8,0
2354,22,45,7,3
2355,46,55,8,0
2356,132,44,5,1
2357,54,63,9,0
2358,126,45,7,1
2359,48,62,9,7
2360,138,51,6,0
2361,80,44,4,0
2362,-104,62,9,1
2363,86,51,6,3
2364,136,52,6,2
2365,46,55,8,0
2366,140,52,6,0
2367,146,49,6,0
2368,42,49,8,0
2369,144,64,8,0
2370,96,56,7,0
2371,46,57,8,0
2372,94,55,7,0
2373,-128,44,9,1
2374,94,57,9,0
2375,42,49,8,0
2376,44,56,8,0
2377,-56,56,9,0
2378,50,57,8,0
2379,48,54,6,1
2380,36,52,7,0
2381,96,56,7,0
2382,94,55,7,8
2383,-14,53,9,1
